id,error_key,EN,KO,ZH_CN,ZH_TW,JA,RU,ES,PT,FR,DE,TH,AR,IT,TR,ID
1,NETWORK_UNAVAILABLE,Network unavailable.,네트워크를 사용할 수 없습니다.,,,,,,,,,,,,,
2,HTTP_FAILED,Request failed.,요청에 실패했습니다.,,,,,,,,,,,,,
3,DESERIALIZE_FAILED,Server response could not be read.,서버 응답을 읽을 수 없습니다.,,,,,,,,,,,,,
4,AUTH_FAILED,Authentication failed.,인증에 실패했습니다.,,,,,,,,,,,,,
5,SESSION_EXPIRED,Session has expired.,세션이 만료되었습니다.,,,,,,,,,,,,,
6,TOKEN_EXPIRED,Session has expired.,세션이 만료되었습니다.,,,,,,,,,,,,,
7,TOKEN_REVOKED,Your session has been revoked.,세션이 취소되었습니다.,,,,,,,,,,,,,
8,ACCOUNT_LOCKED,This account is locked.,계정이 잠겼습니다.,,,,,,,,,,,,,
9,ACCOUNT_BANNED,This account is banned.,이 계정은 이용이 정지되었습니다.,,,,,,,,,,,,,
10,INVALID_DISPLAY_NAME_LENGTH,Name must be 4-24 characters.,닉네임은 4~24자여야 합니다.,,,,,,,,,,,,,
11,INVALID_DISPLAY_NAME_CHAR,Name contains invalid characters.,닉네임에 유효하지 않은 문자가 포함되어 있습니다.,,,,,,,,,,,,,
13,INSUFFICIENT_FUNDS,Insufficient currency.,재화가 부족합니다.,,,,,,,,,,,,,
14,STAGE_NOT_FOUND,Stage not found.,스테이지 정보를 찾을 수 없습니다.,,,,,,,,,,,,,
15,STAGE_ALREADY_ACTIVE,A stage is already in progress.,이미 진행 중인 스테이지가 있습니다.,,,,,,,,,,,,,
16,CONCURRENT_MODIFICATION,Please try again.,잠시 후 다시 시도해 주세요.,,,,,,,,,,,,,
17,RATE_LIMITED,Too many requests. Please try again later.,요청이 너무 많습니다. 잠시 후 다시 시도해 주세요.,,,,,,,,,,,,,
18,INTERNAL_ERROR,An error occurred. Please try again.,오류가 발생했습니다. 다시 시도해 주세요.,,,,,,,,,,,,,
20,INSUFFICIENT_CURRENCY,Insufficient currency.,재화가 부족합니다.,,,,,,,,,,,,,
21,STAGE_LOCKED,Stage is locked.,스테이지가 잠겨 있습니다.,,,,,,,,,,,,,
22,INVALID_STAGE_ATTEMPT,Invalid stage attempt.,유효하지 않은 스테이지 시도입니다.,,,,,,,,,,,,,
23,STAGE_ATTEMPT_EXPIRED,Stage attempt has expired.,스테이지 시도가 만료되었습니다.,,,,,,,,,,,,,
24,STAGE_RULESET_MISMATCH,Stage ruleset mismatch.,스테이지 규칙셋이 일치하지 않습니다.,,,,,,,,,,,,,
25,INVALID_STAGE_CLEAR,Invalid stage clear.,유효하지 않은 스테이지 클리어입니다.,,,,,,,,,,,,,
26,INVALID_RANKING_TYPE,Invalid ranking type.,유효하지 않은 랭킹 타입입니다.,,,,,,,,,,,,,
28,REWARD_ALREADY_CLAIMED,Reward already claimed.,이미 수령한 보상입니다.,,,,,,,,,,,,,
29,AD_REWARD_DUPLICATE,Ad reward already claimed.,이미 처리된 광고 보상입니다.,,,,,,,,,,,,,
30,AD_REWARD_VERIFY_FAILED,Ad reward verification failed.,광고 보상 검증에 실패했습니다.,,,,,,,,,,,,,
31,AD_SSV_PENDING,Ad verification in progress.,광고 검증이 진행 중입니다.,,,,,,,,,,,,,
32,DOUBLE_REWARD_NOT_ELIGIBLE,Double reward not available.,보상 2배가 적용되지 않습니다.,,,,,,,,,,,,,
33,AD_TIMEOUT,Ad verification timed out.,광고 검증 시간이 초과되었습니다.,,,,,,,,,,,,,
34,ALREADY_OWNED,You already own this product.,이미 보유하고 있는 상품입니다.,,,,,,,,,,,,,
35,DUPLICATE_ORDER,This purchase has already been processed.,이미 처리된 구매 요청입니다.,,,,,,,,,,,,,
36,PURCHASE_LIMIT_REACHED,Purchase limit reached.,구매 횟수 한도에 도달했습니다.,,,,,,,,,,,,,
37,PLAYER_NOT_FOUND,Player not found.,플레이어를 찾을 수 없습니다.,,,,,,,,,,,,,
38,INVALID_AMOUNT,Invalid amount.,유효하지 않은 수량입니다.,,,,,,,,,,,,,
39,INSUFFICIENT_ITEMS,Insufficient items.,아이템이 부족합니다.,,,,,,,,,,,,,
40,ITEM_NOT_FOUND,Item not found.,아이템을 찾을 수 없습니다.,,,,,,,,,,,,,
41,AVATAR_NOT_FOUND,Avatar not found.,아바타를 찾을 수 없습니다.,,,,,,,,,,,,,
42,AVATAR_LOCKED,This avatar must be unlocked first.,이 아바타는 먼저 잠금 해제해야 합니다.,,,,,,,,,,,,,
43,REWARD_SOURCE_NOT_FOUND,Reward not found.,보상을 찾을 수 없습니다.,,,,,,,,,,,,,
44,AD_PLACEMENT_NOT_SUPPORTED,This ad placement is not supported.,지원하지 않는 광고 위치입니다.,,,,,,,,,,,,,
