id,reward_group_id,version,sort_order,reward_type,target_id,amount,duration_seconds,stack_policy
1,2001,1,1,SOFT_CURRENCY,0,100,0,NONE
2,2002,1,1,SOFT_CURRENCY,0,200,0,NONE
3,2003,1,1,SOFT_CURRENCY,0,300,0,NONE
4,3001,1,1,SOFT_CURRENCY,0,500,0,NONE
5,3001,1,2,ITEM,4,3,0,NONE
6,3001,1,3,ITEM,2,1,0,NONE
7,3002,1,1,SOFT_CURRENCY,0,1000,0,NONE
8,3002,1,2,ITEM,4,5,0,NONE
9,3002,1,3,ITEM,2,3,0,NONE
10,3002,1,4,ITEM,3,1,0,NONE
11,3003,1,1,SOFT_CURRENCY,0,1500,0,NONE
12,3003,1,2,ITEM,4,5,0,NONE
13,3003,1,3,ITEM,2,5,0,NONE
14,3003,1,4,ITEM,3,3,0,NONE
15,3003,1,5,ITEM,1,1,0,NONE
16,3004,1,1,SOFT_CURRENCY,0,2500,0,NONE
17,3004,1,2,ITEM,4,10,0,NONE
18,3004,1,3,ITEM,2,8,0,NONE
19,3004,1,4,ITEM,3,5,0,NONE
20,3004,1,5,ITEM,1,3,0,NONE
21,5001,1,1,NO_ADS,0,1,0,NONE
22,5002,1,1,SOFT_CURRENCY,0,1000,0,NONE
23,5002,1,2,ITEM,1,1,0,NONE
24,5002,1,3,ITEM,2,1,0,NONE
25,5002,1,4,ITEM,3,1,0,NONE
26,5002,1,5,ITEM,4,1,0,NONE
27,5002,1,6,NO_ADS,0,1,0,NONE
28,5003,1,1,SOFT_CURRENCY,0,5000,0,NONE
29,5003,1,2,ITEM,1,5,0,NONE
30,5003,1,3,ITEM,2,5,0,NONE
31,5003,1,4,ITEM,3,5,0,NONE
32,5003,1,5,ITEM,4,5,0,NONE
